datetime,open,high,low,close,volume
2025-04-10 09:30:00,189.16499,194.77991,183.0,188.0099945,66458042.0
2025-04-10 13:30:00,187.97,192.8,186.0,190.44,35000383.0
2025-04-11 09:30:00,186.17999,199.35001,186.059998,196.8307,49549544.0
2025-04-11 13:30:00,196.85249,199.53999,196.037903,198.020004,24053252.0
2025-04-14 09:30:00,211.44,212.94,201.16209,203.864,70505692.0
2025-04-14 13:30:00,203.88499,206.66,202.32001,202.59,21481155.0
2025-04-15 09:30:00,201.855,203.505,199.82001,201.6044,27180278.0
2025-04-15 13:30:00,201.58501,203.28999,201.30499,202.13,12503721.0
2025-04-16 09:30:00,198.36,200.7,196.020004,197.75999,28030775.0
2025-04-16 13:30:00,197.75999,197.81,192.37,194.3,20803034.0
2025-04-17 09:30:00,197.14999,198.57001,194.42,196.7,28487047.0
2025-04-17 13:30:00,196.71001,198.8335,195.82001,196.87,13227008.0
2025-04-21 09:30:00,193.265,193.8,189.8112,190.614,21143958.0
2025-04-21 13:30:00,190.59,193.42,190.2,193.089996,11656560.0
2025-04-22 09:30:00,196.070007,201.55,196.0,198.53999,26740968.0
2025-04-22 13:30:00,198.5162,200.5,198.0,199.66,16391420.0
2025-04-23 09:30:00,206.0,208.0,202.799,204.95,31569461.0
2025-04-23 13:30:00,205.0,205.75,203.61,204.36,12067466.0
2025-04-24 09:30:00,204.88499,207.029999,202.94,206.905,19704429.0
2025-04-24 13:30:00,206.92,208.8299,206.55,208.2,12310157.0
2025-04-25 09:30:00,206.42999,209.41,206.2,209.37019,19838162.0
2025-04-25 13:30:00,209.39,209.42999,207.37,209.23,9828701.0
2025-04-28 09:30:00,210.055,211.45,207.47,208.16,741326.0
2025-04-28 13:30:00,208.07,211.48,208.07,210.1,511623.0
2025-04-29 09:30:00,208.69299,212.24001,208.37,210.36,17641053.0
2025-04-29 13:30:00,210.37,211.9606,210.22,211.24001,8208600.0
2025-04-30 09:30:00,209.3,211.36,206.6705,211.080002,16755994.0
2025-04-30 13:30:00,211.070007,213.53999,210.050003,212.49001,13395825.0
2025-05-01 09:30:00,209.0099945,214.22,208.89999,212.50999,25393103.0
2025-05-01 13:30:00,212.50999,214.55,212.065002,212.83,13904647.0
2025-05-02 09:30:00,206.089996,206.99001,202.16,204.69901,56380979.0
2025-05-02 13:30:00,204.7,205.83,203.66,205.3,25959801.0
2025-05-05 09:30:00,203.125,204.10001,198.21001,200.41,36766702.0
2025-05-05 13:30:00,200.41,201.16,198.5197,198.77,16029771.0
2025-05-06 09:30:00,198.125,200.649,197.020004,199.425,29509219.0
2025-05-06 13:30:00,199.45,200.17,198.38,198.41,10782022.0
2025-05-07 09:30:00,199.19501,199.44,193.25,195.3,33150770.0
2025-05-07 13:30:00,195.32001,197.46989,193.3,196.25,16299504.0
2025-05-08 09:30:00,197.74001,200.049805,194.6796,199.14,25879436.0
2025-05-08 13:30:00,199.14,199.688,197.164,197.39999,12301836.0
2025-05-09 09:30:00,199.0050049,200.5399,197.535,198.14,20482489.0
2025-05-09 13:30:00,198.145,199.42999,197.91,198.53999,8889863.0
2025-05-12 09:30:00,210.97,211.26649,206.75,209.935,38379254.0
2025-05-12 13:30:00,209.94,211.14999,209.92,210.83,15375592.0
2025-05-13 09:30:00,210.42999,211.94,209.080002,211.71001,27580538.0
